startup_name,sector,stage,region,business_model,founded_year,team_size,founder_count,founder_experience_years,has_technical_founder,funding_total_usd,monthly_burn_usd,runway_months,revenue_growth_pct,customer_growth_pct,churn_pct,burn_multiple,annual_revenue_run_rate,description,founder_bios,recent_update,failed_within_24_months,risk_score
HealthtechLabs0000,healthtech,pre_seed,europe,b2b,2020,8,1,18,0,166653,15000,8.9,116.4,-6.6,7.8,5.37,136224,"pre seed B2B startup building a patient engagement platform for chronic care. Team messaging emphasizes clear product-market fit and growing revenue base, while operating in a market facing weak retention and crowded market.",Founding team of 1. Combined founder experience averages about 18 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 116.4% revenue growth, 7.8% churn, and approximately 8.9 months of runway. Leadership says demand in healthtech remains strong.",1,0.6
EdtechLabs0001,edtech,seed,europe,b2b,2021,8,3,4,0,3761337,21729,19.3,197.9,214.9,19.2,7.8,2135693,"seed B2B startup building a credentialing and assessment tools for schools. Team messaging emphasizes experienced founders and growing revenue base, while operating in a market facing weak retention and limited runway.",Founding team of 3. Combined founder experience averages about 4 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 197.9% revenue growth, 19.2% churn, and approximately 19.3 months of runway. Leadership says demand in edtech remains mixed.",0,0.39
SaasLabs0002,saas,series_a,us,b2c,2022,63,1,8,1,7663623,26655,25.5,23.9,96.9,23.8,5.76,7857677,"series a B2C startup building a workflow automation software for operations teams. Team messaging emphasizes growing revenue base and capital efficient, while operating in a market facing limited runway and high burn.",Founding team of 1. Combined founder experience averages about 8 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 23.9% revenue growth, 23.8% churn, and approximately 25.5 months of runway. Leadership says demand in saas remains mixed.",0,0.53
EdtechLabs0003,edtech,seed,europe,b2b2c,2021,6,3,2,0,3396211,15000,4.8,226.5,163.7,25.4,2.09,2543242,"seed B2B2C startup building a credentialing and assessment tools for schools. Team messaging emphasizes clear product-market fit and capital efficient, while operating in a market facing weak retention and high burn.",Founding team of 3. Combined founder experience averages about 2 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 226.5% revenue growth, 25.4% churn, and approximately 4.8 months of runway. Leadership says demand in edtech remains mixed.",1,0.65
SaasLabs0004,saas,series_a,africa,b2b,2024,32,4,12,0,11548432,42869,23.4,212.5,33.1,6.4,5.6,10331383,"series a B2B startup building a analytics dashboard for mid-market companies. Team messaging emphasizes clear product-market fit and growing revenue base, while operating in a market facing unclear differentiation and limited runway.",Founding team of 4. Combined founder experience averages about 12 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 212.5% revenue growth, 6.4% churn, and approximately 23.4 months of runway. Leadership says demand in saas remains strong.",0,0.21
ClimateLabs0005,climate,series_b,us,b2c,2019,151,3,11,0,22613787,78697,28.8,216.5,68.0,18.0,1.84,30956957,"series b B2C startup building a sustainability intelligence tools for enterprises. Team messaging emphasizes experienced founders and growing revenue base, while operating in a market facing limited runway and high burn.",Founding team of 3. Combined founder experience averages about 11 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 216.5% revenue growth, 18.0% churn, and approximately 28.8 months of runway. Leadership says demand in climate remains mixed.",0,0.14
EdtechLabs0006,edtech,seed,canada,b2b,2018,16,3,16,0,3329615,15000,9.5,133.2,9.8,25.9,6.62,4884467,"seed B2B startup building a credentialing and assessment tools for schools. Team messaging emphasizes capital efficient and repeatable acquisition engine, while operating in a market facing go-to-market challenges and unclear differentiation.",Founding team of 3. Combined founder experience averages about 16 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports 133.2% revenue growth, 25.9% churn, and approximately 9.5 months of runway. Leadership says demand in edtech remains mixed.",1,0.7
LogisticsLabs0007,logistics,pre_seed,africa,b2b2c,2024,5,2,18,1,753716,15000,21.1,80.8,268.4,16.4,2.36,72386,"pre seed B2B2C startup building a route optimization platform for fleet operators. Team messaging emphasizes growing revenue base and repeatable acquisition engine, while operating in a market facing high burn and limited runway.",Founding team of 2. Combined founder experience averages about 18 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 80.8% revenue growth, 16.4% churn, and approximately 21.1 months of runway. Leadership says demand in logistics remains mixed.",0,0.34
SaasLabs0008,saas,pre_seed,asia,b2c,2021,3,1,2,1,1178263,15000,21.1,37.8,26.7,32.8,4.78,835396,"pre seed B2C startup building a analytics dashboard for mid-market companies. Team messaging emphasizes clear product-market fit and capital efficient, while operating in a market facing crowded market and go-to-market challenges.",Founding team of 1. Combined founder experience averages about 2 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 37.8% revenue growth, 32.8% churn, and approximately 21.1 months of runway. Leadership says demand in saas remains mixed.",1,0.7
EcommerceLabs0009,ecommerce,seed,latam,b2b,2018,15,1,2,1,1666615,15000,8.1,101.1,117.9,10.5,2.37,2308092,"seed B2B startup building a creator-led commerce infrastructure. Team messaging emphasizes growing revenue base and strong retention, while operating in a market facing crowded market and limited runway.",Founding team of 1. Combined founder experience averages about 2 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 101.1% revenue growth, 10.5% churn, and approximately 8.1 months of runway. Leadership says demand in ecommerce remains mixed.",0,0.43
FintechLabs0010,fintech,series_b,canada,b2b,2025,55,4,7,1,23048610,70160,29.6,51.6,232.0,16.5,3.67,33097261,"series b B2B startup building a compliance-first banking infrastructure. Team messaging emphasizes repeatable acquisition engine and clear product-market fit, while operating in a market facing high burn and go-to-market challenges.",Founding team of 4. Combined founder experience averages about 7 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 51.6% revenue growth, 16.5% churn, and approximately 29.6 months of runway. Leadership says demand in fintech remains mixed.",0,0.22
ClimateLabs0011,climate,pre_seed,us,b2c,2018,9,3,2,0,1154553,15000,17.3,-4.6,145.0,29.9,1.01,117696,"pre seed B2C startup building a carbon measurement and reporting platform. Team messaging emphasizes clear product-market fit and strong retention, while operating in a market facing limited runway and high burn.",Founding team of 3. Combined founder experience averages about 2 years. The team has prior startup and operator exposure and lacks a dedicated technical co-founder.,"Recent investor update: management reports -4.6% revenue growth, 29.9% churn, and approximately 17.3 months of runway. Leadership says demand in climate remains fragile.",1,0.61
AiToolsLabs0012,ai_tools,seed,africa,b2b,2023,15,3,7,1,2752242,15000,6.5,154.3,129.0,32.6,7.52,38457,"seed B2B startup building a multimodal search and reasoning tools. Team messaging emphasizes growing revenue base and strong retention, while operating in a market facing crowded market and limited runway.",Founding team of 3. Combined founder experience averages about 7 years. The team has prior startup and operator exposure and includes a technical co-founder with product and engineering depth.,"Recent investor update: management reports 154.3% revenue growth, 32.6% churn, and approximately 6.5 months of runway. Leadership says demand in ai_tools remains mixed.",1,0.75
